id,credit_policy,purpose,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid,annual_income,fico_category,int_rate_type
0,1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0,85000.00038,Excellent,Low
1,1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0,0,65000.00007,Excellent,Low
2,1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0,0,31999.99994,Good,High
3,1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0,85000.00038,Excellent,Low
4,1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,1,0,0,80799.99964,Good,High
5,1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51,0,0,0,0,147999.9996,Excellent,Low
6,1,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,1,45000.00006,Good,High
7,1,all_other,0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,1,59999.99993,Excellent,Low
8,1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989,69909,51.1,1,0,0,0,90000.00006,Good,Low
9,1,debt_consolidation,0.1221,84.12,10.20359214,10,707,2730.041667,5630,23,1,0,0,0,26999.99987,Excellent,High
10,1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71,2,0,1,0,33999.99988,Good,High
11,1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,1,0,0,137999.9994,Good,High
12,1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0,56000.00002,Excellent,Low
13,1,small_business,0.0714,92.82,11.51292546,6.5,747,4384,3021,4.8,0,1,0,0,99999.9995,Excellent,Low
14,1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0,13200.00001,Excellent,Low
15,1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0,46115.99998,Excellent,Low
16,1,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0,37151.99983,Good,High
17,1,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0,109999.9995,Excellent,Low
18,1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760,8311,59.8,0,0,0,0,36000.00009,Excellent,Low
19,1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0,59999.99993,Good,High
20,1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,74999.99981,Excellent,Low
21,1,all_other,0.0863,474.42,10.81977828,2.59,797,11951,5656,27.6,0,0,0,0,49999.99978,Excellent,Low
22,1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0,99999.9995,Good,High
23,1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0,125000.0005,Excellent,Low
24,1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0,78000.00034,Good,High
25,1,all_other,0.0901,159.03,12.4292162,10,712,1553.958333,14354,36.6,0,2,0,0,250000.0008,Excellent,Low
26,1,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0,65000.00007,Excellent,Low
27,1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,21999.99999,Good,High
28,1,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0,200000.0009,Excellent,Low
29,1,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0,200000.0009,Excellent,Low
30,1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0,99999.9995,Excellent,Low
31,1,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0,18000,Good,Low
32,1,home_improvement,0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,0,149999.9995,Excellent,Low
33,1,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0,109999.9995,Excellent,Low
34,1,credit_card,0.087,158.3,11.22524339,15.55,757,4770,66033,23,0,0,0,0,74999.99981,Excellent,Low
35,1,all_other,0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0,94999.99994,Excellent,Low
36,1,credit_card,0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,0,85000.00038,Excellent,Low
37,1,credit_card,0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,1,0,79999.99971,Good,Low
38,1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,0,48000.00001,Excellent,Low
39,1,home_improvement,0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0,180000,Excellent,Low
40,1,home_improvement,0.0807,156.84,12.10071213,5.55,742,4019,40934,26.3,0,0,0,0,180000,Excellent,Low
41,1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,3540,8379,16.9,0,0,0,0,119999.9998,Excellent,Low
42,1,small_business,0.087,94.98,10.1266311,14.54,752,2460,3660,7.8,1,0,0,0,24999.9999,Excellent,Low
43,1,home_improvement,0.1028,97.2,12.20607265,0,677,3779.958333,0,0,0,1,0,0,200000.0009,Good,Low
44,1,credit_card,0.1122,164.23,10.30895266,18.64,702,5190,15840,47.1,0,0,0,0,29999.99998,Excellent,Low
45,1,credit_card,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0,73999.99984,Excellent,Low
46,1,educational,0.0775,168.6,8.987196821,3,762,6659.958333,1321,16.5,0,0,0,0,8000.000003,Excellent,Low
47,1,all_other,0.0838,160.72,10.37349118,14.78,772,4379,4737,23.9,0,0,0,0,31999.99994,Excellent,Low
48,1,credit_card,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0,72999.99999,Excellent,Low
49,1,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0,125000.0005,Excellent,Low
50,1,credit_card,0.0743,155.38,10.71441777,1.12,782,5807,1783,0,1,0,0,0,45000.00006,Excellent,Low
51,1,small_business,0.1028,323.98,10.217422,10.7,712,1379,3534,54.4,0,0,0,0,27376.00011,Excellent,Low
52,1,small_business,0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,0,48000.00001,Excellent,Low
53,1,educational,0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,0,13499.99999,Excellent,Low
54,1,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,1409,3075,92.3,1,0,0,0,52199.9998,Fair,High
55,1,small_business,0.1059,398.69,11.00209984,17.12,747,14008.95833,17214,8.1,2,1,0,0,59999.99993,Excellent,Low
